id_parroquia,parroquia,id_zona,codigo,zona
fb198ad9-5896-4bca-be44-80de3ef4659f,PALMAS,9e502d21-43e1-49f8-9a02-88d2a98d8312,1,PALMAS
fb198ad9-5896-4bca-be44-80de3ef4659f,PALMAS,6b513de5-07de-4527-aa15-6dc8d1cd2806,2,JURUPILLOS
fb198ad9-5896-4bca-be44-80de3ef4659f,PALMAS,3083da01-3201-4c6c-9e70-1b4b67bf9591,3,SANTA ROSA
9197a3ee-ab8c-4928-964b-2faf8fbb93b2,PAUTE,41cc6d26-faf2-42f0-864d-83499e4e1de6,1,PAUTE
9197a3ee-ab8c-4928-964b-2faf8fbb93b2,PAUTE,7a7f2b28-a110-483d-8662-afa271d699dd,2,VILLAFLOR
9197a3ee-ab8c-4928-964b-2faf8fbb93b2,PAUTE,6f62063b-17a3-4f7c-866f-98c0d5decc21,3,ZHUMIR
729bb385-ab8f-4838-b782-1b2fe95d2f82,PRINCIPAL,null,null,null
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,b1c1e309-0d53-49be-b7ee-e926a90fcb54,1,PUCARA
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,bc73ef0f-8ce8-4ffe-8eb8-21a8e194b5e7,10,SANTA CECILIA
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,6c3b0536-6ae9-4202-9a4a-e84df5aeb807,11,SAN ANTONIO DE ÑUGRO
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,eac6e3c4-5d90-44d3-a614-d3635f7c5366,2,SARAYUNGA
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,da6173e8-a958-4813-a83b-f6a4ff311bc9,3,GRAMALOTE
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,b469acf7-1012-4786-9510-971259d32f74,4,CERRO NEGRO
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,d67472a4-3b1c-48bc-8f4b-1257c8e2dc3c,5,PELINCAY
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,d5d90025-b534-4164-9773-cc6aac020a69,7,CALIGUIÑA
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,1ac402a8-861d-4f11-b87a-4373a1d82abd,8,LA DOLOROSA
c20369ad-b632-418f-8435-f0be2b4a11f6,PUCARA,5af719e4-3300-4535-bbc8-2a9713902c8f,9,LAS PALMAS
7843be29-29d9-4093-a9cc-34115efb096b,QUINGEO,8011de1c-9032-417b-a84d-5bf26d45bd57,1,QUINGEO
7843be29-29d9-4093-a9cc-34115efb096b,QUINGEO,e9a40202-bb47-47a5-b569-8a2c18ddd080,2,MONJAS
7843be29-29d9-4093-a9cc-34115efb096b,QUINGEO,c3f37579-9579-4a13-b5ad-fa41be26e4a6,3,PIRICOCHA
10ec0e14-402e-480b-a4e1-2ae05d37a48c,RAMIREZ DAVALOS,null,null,null
0970a6db-db33-49c1-b5ab-72afd2b6c4a9,REMIGIO CRESPO TORAL,null,null,null
231aa4ce-e2c5-487a-9f16-892efc7126b8,RICAURTE,91d9792d-4416-4ec0-baf0-d6adb14f292f,1,RICAURTE
231aa4ce-e2c5-487a-9f16-892efc7126b8,RICAURTE,059ca50a-25ef-42f1-8497-ee98daff29a0,2,LA DOLOROSA
4ac9ed2e-cebc-493c-ab60-642fc234a221,SAGRARIO,null,null,null
ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,SAN BARTOLOME,65acc160-8937-4dba-9cbe-1e8ce6aefc35,1,SAN BARTOLOMÉ
ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,SAN BARTOLOME,1e45a4af-2057-4208-86ae-c4bcda51562e,2,LA LIBERTAD
ee936bb7-bf11-4bf9-b384-8a0530a9a6fa,SAN BARTOLOME,dad33f51-4764-4083-9823-3fc404df4399,3,SIGSIGLLANO
8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,SAN BLAS,null,null,null
746b4bb9-2e73-4c8f-8737-9f442f0c5d68,SAN CRISTOBAL,96f9623f-2414-4435-bd0c-3cdf21dbfeb9,1,SAN CRISTOBAL
746b4bb9-2e73-4c8f-8737-9f442f0c5d68,SAN CRISTOBAL,b95f28ed-b994-415a-a3aa-3d11e35b4f9d,2,GUACHUN
87610f35-aae2-4312-a1c3-a946bf44557d,SAN FERNANDO,null,null,null
578ee1a4-65e5-4ad6-a6db-7233f1b0a656,SAN GERARDO,null,null,null
1c283ef6-26b1-4a7c-a0cc-27c603b196e8,SAN JOAQUIN,b4ea43a4-0835-4607-96ed-44df1dbcfd05,1,SAN JOAQUIN
1c283ef6-26b1-4a7c-a0cc-27c603b196e8,SAN JOAQUIN,4385d062-63a3-4c09-963e-ba38b762dc09,2,BARABON
