Nombre,Parroquia,Zona,M_Desde,M_Hasta,F_Desde,F_Hasta
ESCUELA DE EDUCACION BASICA JOAQUIN MALO TAMARIZ,0c67f239-d9ff-4210-955e-8dacc299bbbb,e69bdbb4-8c2b-4bb3-9bba-e0d2b6371f9d,1,1,1,1
CASA COMUNAL BELLAVISTA,0c67f239-d9ff-4210-955e-8dacc299bbbb,ea3e680e-959c-4ca9-868d-de7002601a4d,1,1,1,1
ESCUELA DE EDUCACION BASICA ROSARIO PRIETO DE FARFAN,4d5219e7-398b-4bb4-8857-800782975805,a5be1850-ef4f-45cb-b184-6a23ba67269c,1,1,1,1
ESCUELA DE EDUCACIÓN BASICA MIGUEL PRIETO,4d5219e7-398b-4bb4-8857-800782975805,87bea360-a372-4ffb-8c5f-8d0aae91e36d,1,4,1,5
UNIDAD EDUCATIVA DORA BEATRIZ CANELOS,4d5219e7-398b-4bb4-8857-800782975805,271042d2-57a0-4240-bc08-c8cfe6523d59,1,1,1,1
ESCUELA DE EDUCACION BASICA CAROLINA DE FEBRES CORDERO,d5947d19-7e67-45ac-8966-f2b7059078b8,dcae529f-ce52-4332-9a74-f6c311ade9e7,6,9,6,9
UNIDAD EDUCATIVA SININCAY/ESCUELA JUAN DE DIOS CORRAL,d5947d19-7e67-45ac-8966-f2b7059078b8,dcae529f-ce52-4332-9a74-f6c311ade9e7,1,5,1,5
ESCUELA DE EDUCACION BASICA ALEJANDRO PADILLA VASQUEZ,d5947d19-7e67-45ac-8966-f2b7059078b8,dcae529f-ce52-4332-9a74-f6c311ade9e7,10,12,10,15
UNIDAD EDUCATIVA REYNALDO CHICO GARCIA,d5947d19-7e67-45ac-8966-f2b7059078b8,171c2980-efba-4234-b61d-92a1b56d3138,1,1,1,1
ESCUELA DE EDUCACIÓN GENERAL BASICA PADRE JUAN CARLO,d5947d19-7e67-45ac-8966-f2b7059078b8,5fa59db9-8f4c-424c-96be-680502794de9,1,1,1,2
UNIVERSIDAD DE CUENCA-FILOSOFIA,7249385a-edd8-4d97-9b4f-2d7e64d99512,,6,10,6,10
UNIDAD EDUCATIVA REMIGIO ROMERO Y CORDERO,7249385a-edd8-4d97-9b4f-2d7e64d99512,,28,29,28,33
UNIDAD EDUCATIVA ANTONIO AVILA MALDONADO/COLEGIO ANTONIO AVILA MALDONADO,7249385a-edd8-4d97-9b4f-2d7e64d99512,,16,21,16,21
UNIDAD EDUCATIVA MIGUEL MERCHAN OCHOA,7249385a-edd8-4d97-9b4f-2d7e64d99512,,22,27,22,27
UNIVERSIDAD DE CUENCA - FACULTAD DE PSICOLOGIA,7249385a-edd8-4d97-9b4f-2d7e64d99512,,11,15,11,15
COLEGIO DE BACHILLERATO BENIGNO MALO/COLISEO,7249385a-edd8-4d97-9b4f-2d7e64d99512,,1,5,1,5
UNIDAD EDUCATIVA FAUSTO MOLINA,09570995-2494-4395-98ef-52517cdd61fe,73e66c67-0384-4c8a-9ffa-6e3fee6117ad,1,7,1,7
ESCUELA DE EDUCACION BASICA ALFONSO MORENO MORA,09570995-2494-4395-98ef-52517cdd61fe,73e66c67-0384-4c8a-9ffa-6e3fee6117ad,8,11,8,13
ESCUELA DE EDUCACION BASICA MIGUEL MOROCHO,09570995-2494-4395-98ef-52517cdd61fe,69b37764-4605-4f9d-9ab8-33f0ecc3df8f,1,1,1,1
ESCUELA DE EDUCACION BASICA JUAN CONTRERAS HURTADO,09570995-2494-4395-98ef-52517cdd61fe,0029d9ab-1f17-488e-9f5e-4eba5e55ea52,1,1,1,1
UNIDAD EDUCATIVA HERLINDA TORAL COLISEO,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,1,4,1,4
UNIDAD EDUCATIVA LA INMACULADA,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,18,22,18,22
UNIDAD EDUCATIVA ABELARDO TAMARIZ CRESPO,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,13,17,13,17
UNIDAD EDUCATIVA HERLINDA TORAL MALO AULAS,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,5,12,5,12
UNIDAD EDUCATIVA FISCAL RICARDO MUÑOZ CHAVEZ,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,28,30,28,35
COLISEO POLIDEPORTIVO TOTORACOCHA,d50bd2b7-c5f8-4088-a942-77403ba40b7b,,23,27,23,27
UNIDAD EDUCATIVA TURI,f568c3af-420f-4da8-af22-bbff6d241279,,1,6,1,6
ESCUELA DE EDUCACION BASICA JOSE RAFAEL ARIZAGA,f568c3af-420f-4da8-af22-bbff6d241279,,7,9,7,11
ESCUELA DE EDUCACIÓN BASICA ELOY ALFARO / ESCUELA ELOY ALFARO,1fb17331-02b3-4ff7-9e29-e626147d7858,7d4b6764-20bb-4918-82ff-4b0e87e85377,1,2,1,2
ESCUELA DE EDUCACION BASICA NICOLAS SOJOS JARAMILLO,1fb17331-02b3-4ff7-9e29-e626147d7858,a89bba4c-abf0-4ba9-ae83-33eda93c53da,1,1,1,1
ESCUELA DE EDUCACION BASICA MANUEL GUERRERO,1fb17331-02b3-4ff7-9e29-e626147d7858,68a0dfd7-c5ae-47cd-87af-804b361abd41,8,15,8,15
UNIDAD EDUCATIVA GUILLERMO MENSI,1fb17331-02b3-4ff7-9e29-e626147d7858,68a0dfd7-c5ae-47cd-87af-804b361abd41,1,7,1,7
ESCUELA DE EDUCACION BASICA JOSE TOMAS RENDON SOLANO,1fb17331-02b3-4ff7-9e29-e626147d7858,68a0dfd7-c5ae-47cd-87af-804b361abd41,16,21,16,24
ESCUELA DE EDUCACIÓN  BÁSICA RAMÓN BORRERO,1fb17331-02b3-4ff7-9e29-e626147d7858,75c975b6-5fe5-466b-9842-24700242607a,1,1,1,1
UNIDAD EDUCATIVA DEL MILENIO VICTORIA DEL PORTETE,58a6be5e-ee5a-4582-b68b-ab0d2018876d,,1,6,1,7
ESCUELA DE EDUCACIÓN BÁSICA NICOLÁS SOJOS,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,11,15,11,15
UNIDAD EDUCATIVA FISCOMISIONAL TÉCNICO SALESIANO/INSTITUTO TECNICO SUPERIOR SALESIANO,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,1,10,1,10
ESCUELA BASICA JOSE MARIA VELASCO IBARRA,02d96235-cfa5-4cf0-85f6-ff6eef892ab7,d1d7876d-33c9-4cd6-a9d7-8ee96ad8e76e,16,19,16,19
